"genes"	"modules"
"Sample"	"M2"
"ENSG00000244734.4"	"M5"
"ENSG00000188536.13"	"M5"
"ENSG00000206172.8"	"M5"
"ENSG00000163220.11"	"M1"
"ENSG00000185201.16"	"M1"
"ENSG00000105701.16"	"M5"
"ENSG00000162747.11"	"M1"
"ENSG00000198804.2"	"M7"
"ENSG00000198886.2"	"M7"
"ENSG00000171051.8"	"M1"
"ENSG00000107738.20"	"M1"
"ENSG00000180871.8"	"M1"
"ENSG00000151726.14"	"M1"
"ENSG00000163464.8"	"M1"
"ENSG00000173821.19"	"M2"
"ENSG00000163191.6"	"M1"
"ENSG00000169180.11"	"M1"
"ENSG00000234745.11"	"M7"
"ENSG00000084070.12"	"M1"
"ENSG00000137642.13"	"M1"
"ENSG00000157514.16"	"M1"
"ENSG00000158710.14"	"M9"
"ENSG00000198888.2"	"M7"
"ENSG00000103569.10"	"M1"
"ENSG00000114626.18"	"M1"
"ENSG00000105835.12"	"M1"
"ENSG00000112303.14"	"M1"
"ENSG00000198727.2"	"M7"
"ENSG00000008516.17"	"M1"
"ENSG00000119917.14"	"M2"
"ENSG00000124126.14"	"M1"
"ENSG00000142089.16"	"M2"
"ENSG00000119922.10"	"M2"
"ENSG00000198858.10"	"M1"
"ENSG00000132274.16"	"M2"
"ENSG00000164054.15"	"M2"
"ENSG00000113916.18"	"M1"
"ENSG00000198763.3"	"M7"
"ENSG00000013306.16"	"M5"
"ENSG00000143546.10"	"M1"
"ENSG00000203747.11"	"M1"
"ENSG00000198786.2"	"M7"
"ENSG00000183486.13"	"M2"
"ENSG00000116741.8"	"M1"
"ENSG00000211592.8"	"M3"
"ENSG00000018280.17"	"M1"
"ENSG00000177156.11"	"M1"
"ENSG00000198899.2"	"M7"
"ENSG00000185885.16"	"M2"
"ENSG00000173193.15"	"M2"
"ENSG00000111331.13"	"M2"
"ENSG00000115271.11"	"M1"
"ENSG00000204525.16"	"M1"
"ENSG00000198736.11"	"M1"
"ENSG00000157601.14"	"M2"
"ENSG00000137462.8"	"M1"
"ENSG00000197081.14"	"M1"
"ENSG00000155926.14"	"M1"
"ENSG00000111335.12"	"M2"
"ENSG00000158578.21"	"M5"
"ENSG00000211459.2"	"M9"
"ENSG00000159346.13"	"M5"
"ENSG00000132965.9"	"M1"
"ENSG00000134686.18"	"M1"
"ENSG00000206503.13"	"M1"
"ENSG00000274536.7"	"M1"
"ENSG00000135636.14"	"M1"
"ENSG00000141298.19"	"M1"
"ENSG00000170581.14"	"M2"
"ENSG00000152558.15"	"M2"
"ENSG00000135842.17"	"M1"
"ENSG00000154451.14"	"M2"
"ENSG00000184730.11"	"M1"
"ENSG00000136732.16"	"M5"
"ENSG00000100225.18"	"M5"
"ENSG00000126709.15"	"M2"
"ENSG00000138496.16"	"M2"
"ENSG00000089127.13"	"M2"
"ENSG00000124731.13"	"M1"
"ENSG00000176788.9"	"M1"
"ENSG00000072110.13"	"M1"
"ENSG00000136040.9"	"M1"
"ENSG00000187608.10"	"M2"
"ENSG00000120129.6"	"M1"
"ENSG00000185745.10"	"M2"
"ENSG00000162551.14"	"M1"
"ENSG00000171049.9"	"M1"
"ENSG00000130589.16"	"M2"
"ENSG00000157551.19"	"M1"
"ENSG00000166825.14"	"M1"
"ENSG00000113719.16"	"M1"
"ENSG00000170315.14"	"M5"
"ENSG00000181381.13"	"M2"
"ENSG00000134321.12"	"M2"
"ENSG00000177409.12"	"M2"
"ENSG00000106780.9"	"M1"
"ENSG00000156587.16"	"M2"
"ENSG00000142657.21"	"M1"
"ENSG00000178685.14"	"M2"
"ENSG00000197249.13"	"M1"
"ENSG00000196549.10"	"M1"
"ENSG00000173868.11"	"M1"
"ENSG00000137959.16"	"M2"
"ENSG00000100504.17"	"M1"
"ENSG00000163823.4"	"M2"
"ENSG00000136869.16"	"M1"
"ENSG00000167671.12"	"M5"
"ENSG00000146592.17"	"M1"
"ENSG00000115523.16"	"M6"
"ENSG00000198695.2"	"M7"
"ENSG00000182885.17"	"M1"
"ENSG00000179820.16"	"M1"
"ENSG00000105374.10"	"M6"
"ENSG00000101474.12"	"M1"
"ENSG00000197852.12"	"M1"
"ENSG00000113749.7"	"M1"
"ENSG00000096060.14"	"M1"
"ENSG00000136689.18"	"M2"
"ENSG00000117115.13"	"M1"
"ENSG00000186529.16"	"M1"
"ENSG00000196352.15"	"M1"
"ENSG00000101307.15"	"M1"
"ENSG00000146859.6"	"M2"
"ENSG00000055332.18"	"M2"
"ENSG00000077984.6"	"M1"
"ENSG00000168961.17"	"M2"
"ENSG00000221963.6"	"M2"
"ENSG00000117228.10"	"M2"
"ENSG00000135114.12"	"M2"
"ENSG00000163421.9"	"M1"
"ENSG00000117984.14"	"M7"
"ENSG00000131724.11"	"M1"
"ENSG00000059378.12"	"M2"
"ENSG00000196923.14"	"M1"
"ENSG00000137965.11"	"M2"
"ENSG00000060138.13"	"M5"
"ENSG00000062282.15"	"M1"
"ENSG00000166523.8"	"M1"
"ENSG00000180644.8"	"M6"
"ENSG00000171236.10"	"M1"
"ENSG00000158470.5"	"M1"
"ENSG00000196358.11"	"M2"
"ENSG00000151948.12"	"M1"
"ENSG00000133106.14"	"M2"
"ENSG00000138646.9"	"M2"
"ENSG00000205413.8"	"M2"
"ENSG00000158856.18"	"M5"
"ENSG00000102524.11"	"M2"
"ENSG00000115828.17"	"M1"
"ENSG00000261971.8"	"M1"
"ENSG00000128383.13"	"M2"
"ENSG00000148180.19"	"M1"
"ENSG00000186407.7"	"M1"
"ENSG00000158517.15"	"M1"
"ENSG00000107201.10"	"M2"
"ENSG00000124256.15"	"M2"
"ENSG00000158825.6"	"M1"
"ENSG00000130303.13"	"M2"
"ENSG00000188313.13"	"M2"
"ENSG00000141664.10"	"M2"
"ENSG00000188897.9"	"M1"
"MER4_22q12.3"	"M2"
"ENSG00000140464.20"	"M2"
"ENSG00000221869.5"	"M1"
"ENSG00000133048.13"	"M1"
"ENSG00000171552.13"	"M5"
"ENSG00000114268.12"	"M1"
"ENSG00000100985.7"	"M1"
"ENSG00000181409.14"	"M1"
"ENSG00000165801.10"	"M1"
"ENSG00000115607.9"	"M1"
"ENSG00000108582.12"	"M1"
"ENSG00000111859.17"	"M1"
"ENSG00000090376.11"	"M1"
"ENSG00000163221.9"	"M1"
"ENSG00000154146.13"	"M9"
"ENSG00000068079.7"	"M2"
"ENSG00000203710.11"	"M1"
"ENSG00000123700.4"	"M1"
"ENSG00000115590.14"	"M1"
